IDLink,publication,available,comparator,gain_unavailable_zero
57793,2016-06-20 08:25:04,True,baseline,-0.0011589076637633774
57799,2016-06-20 08:29:04,True,baseline,0.02515321243464394
57800,2016-06-20 08:33:06,True,baseline,-0.0016660140117484498
57820,2016-06-20 10:00:09,True,baseline,-0.010058390697413964
57811,2016-06-20 10:06:05,True,baseline,-0.0035267100831936557
57809,2016-06-20 10:09:03,True,baseline,-0.00034489378685506264
57818,2016-06-20 10:19:03,True,baseline,0.0004493758964110098
57829,2016-06-20 10:40:10,True,baseline,0.00358887399509154
57830,2016-06-20 10:40:10,True,baseline,-0.0008517471417950032
57822,2016-06-20 10:58:04,True,baseline,0.01279410084019069
57824,2016-06-20 11:03:07,True,baseline,0.0031990938281633227
57827,2016-06-20 11:04:05,True,baseline,0.005226844775645563
57838,2016-06-20 11:20:04,True,baseline,-0.0038522007906975075
57834,2016-06-20 11:21:06,True,baseline,0.0008784622296162739
57845,2016-06-20 12:07:04,True,baseline,0.00013881613344926503
57848,2016-06-20 12:10:04,True,baseline,0.00033831202083218354
57855,2016-06-20 12:20:10,True,baseline,0.003496400914490879
57858,2016-06-20 13:07:03,True,baseline,0.002026051686890809
57854,2016-06-20 13:08:06,True,baseline,0.00033470853199557213
57859,2016-06-20 13:19:06,True,baseline,0.006784411860261651
57864,2016-06-20 13:33:06,True,baseline,-0.0015180151578373536
57875,2016-06-20 14:00:11,True,baseline,0.014062556782512971
57873,2016-06-20 14:20:04,True,baseline,0.0011447459496684922
57879,2016-06-20 14:20:07,True,baseline,-0.00019090742086914567
57870,2016-06-20 14:30:05,True,baseline,0.0007767779226432884
57869,2016-06-20 14:38:05,True,baseline,-0.007385051301194757
57878,2016-06-20 14:45:06,True,baseline,0.011780116059910417
57874,2016-06-20 14:49:06,True,baseline,0.015751084313375123
57877,2016-06-20 15:17:05,True,baseline,-0.00403817949348334
57883,2016-06-20 15:34:05,True,baseline,-0.0037290472743179703
57894,2016-06-20 15:50:03,True,baseline,-0.005934755020650587
57889,2016-06-20 15:59:03,True,baseline,-0.008520305536530213
57902,2016-06-20 16:02:09,True,baseline,-0.004772311816729442
57923,2016-06-20 17:17:07,True,baseline,0.0014249972324481934
57920,2016-06-20 17:32:04,True,baseline,0.011765125259208767
57930,2016-06-20 17:32:08,True,baseline,-0.005382358739800877
57929,2016-06-20 17:52:04,True,baseline,-0.0013390577151664758
57936,2016-06-20 18:00:05,True,baseline,-0.0005557148000012099
57949,2016-06-20 18:43:04,True,baseline,-0.004670025249062994
57970,2016-06-20 20:00:08,True,baseline,0.014275297603423519
57960,2016-06-20 20:01:06,True,baseline,-0.003778009085162258
46414,2016-05-01 00:40:15,True,ungated,0.0
46420,2016-05-01 01:40:16,True,ungated,0.0
46425,2016-05-01 02:20:20,True,ungated,0.0
46426,2016-05-01 02:20:20,True,ungated,0.0
46428,2016-05-01 02:40:14,True,ungated,0.0
46435,2016-05-01 04:57:15,True,ungated,0.0
46434,2016-05-01 05:06:20,True,ungated,0.0
46437,2016-05-01 05:38:29,True,ungated,0.0
46444,2016-05-01 06:00:16,True,ungated,0.0
46446,2016-05-01 06:00:20,True,ungated,0.0
46440,2016-05-01 06:05:19,True,ungated,0.0
46445,2016-05-01 06:11:19,True,ungated,0.0
46454,2016-05-01 07:00:14,True,ungated,0.0
46455,2016-05-01 07:02:16,True,ungated,0.0
46451,2016-05-01 07:06:17,True,ungated,0.0
46531,2016-05-01 18:40:14,True,ungated,0.0
46534,2016-05-01 18:40:14,True,ungated,0.0
46536,2016-05-01 19:16:18,True,ungated,0.0
46535,2016-05-01 19:24:16,True,ungated,0.0
46544,2016-05-01 20:16:14,True,ungated,0.0
46548,2016-05-01 20:42:16,True,ungated,0.0
46554,2016-05-01 21:00:21,True,ungated,0.0
46553,2016-05-01 21:06:17,True,ungated,0.0
46549,2016-05-01 21:14:22,True,ungated,0.0
46552,2016-05-01 21:40:14,True,ungated,0.0
46559,2016-05-01 21:40:15,True,ungated,0.0
46555,2016-05-01 21:51:16,True,ungated,0.0
46563,2016-05-01 22:00:15,True,ungated,0.0
46560,2016-05-01 22:03:17,True,ungated,0.0
46561,2016-05-01 22:03:18,True,ungated,0.0
46564,2016-05-01 22:58:16,True,ungated,0.0
46574,2016-05-01 23:40:15,True,ungated,0.0
46575,2016-05-02 00:04:18,True,ungated,0.0
46578,2016-05-02 00:17:16,True,ungated,0.0
46581,2016-05-02 00:37:19,True,ungated,0.0
46588,2016-05-02 01:11:14,True,ungated,0.0
46582,2016-05-02 01:11:20,True,ungated,0.0
46592,2016-05-02 01:40:15,True,ungated,0.0
46589,2016-05-02 01:41:15,True,ungated,0.0
46594,2016-05-02 02:41:17,True,ungated,0.0
46596,2016-05-02 02:42:19,True,ungated,0.0
46608,2016-05-02 04:38:20,True,ungated,0.0
46725,2016-05-02 15:24:14,True,ungated,0.0
46726,2016-05-02 15:29:14,True,ungated,0.0
46740,2016-05-02 15:40:16,True,ungated,0.0
46743,2016-05-02 16:00:15,True,ungated,0.0
46745,2016-05-02 16:00:15,True,ungated,0.0
46744,2016-05-02 16:27:15,True,ungated,0.0
46756,2016-05-02 16:40:16,True,ungated,0.0
46755,2016-05-02 16:57:15,True,ungated,0.0
46762,2016-05-02 17:00:18,True,ungated,0.0
46763,2016-05-02 17:11:20,True,ungated,0.0
46770,2016-05-02 17:20:19,True,ungated,0.0
46759,2016-05-02 17:31:15,True,ungated,0.0
46778,2016-05-02 17:40:17,True,ungated,0.0
46760,2016-05-02 17:43:16,True,ungated,0.0
46775,2016-05-02 17:44:15,True,ungated,0.0
46761,2016-05-02 17:46:16,True,ungated,0.0
46767,2016-05-02 17:47:16,True,ungated,0.0
46776,2016-05-02 18:04:15,True,ungated,0.0
46781,2016-05-02 18:26:18,True,ungated,0.0
46777,2016-05-02 18:37:16,True,ungated,0.0
46788,2016-05-02 18:40:14,True,ungated,0.0
46789,2016-05-02 18:40:15,True,ungated,0.0
46787,2016-05-02 19:02:17,True,ungated,0.0
46790,2016-05-02 19:07:15,True,ungated,0.0
46792,2016-05-02 19:51:14,True,ungated,0.0
46805,2016-05-02 20:00:24,True,ungated,0.0
46798,2016-05-02 20:02:15,True,ungated,0.0
46797,2016-05-02 20:03:15,True,ungated,0.0
46793,2016-05-02 20:11:19,True,ungated,0.0
46799,2016-05-02 20:13:17,True,ungated,0.0
46808,2016-05-02 20:20:31,True,ungated,0.0
46806,2016-05-02 20:29:27,True,ungated,0.0
46818,2016-05-02 20:56:21,True,ungated,0.0
46820,2016-05-02 21:00:19,True,ungated,0.0
46816,2016-05-02 21:01:16,True,ungated,0.0
46819,2016-05-02 21:21:19,True,ungated,0.0
46933,2016-05-03 09:00:19,True,ungated,0.0
46930,2016-05-03 09:16:16,True,ungated,0.0
46937,2016-05-03 09:49:21,True,ungated,0.0
46936,2016-05-03 09:52:15,True,ungated,0.0
46940,2016-05-03 10:00:15,True,ungated,0.0
46935,2016-05-03 10:02:15,True,ungated,0.0
46941,2016-05-03 10:28:16,True,ungated,0.0
46944,2016-05-03 10:33:15,True,ungated,0.0
46949,2016-05-03 10:42:21,True,ungated,0.0
46946,2016-05-03 10:48:15,True,ungated,0.0
46948,2016-05-03 11:01:18,True,ungated,0.0
46947,2016-05-03 11:19:15,True,ungated,0.0
46952,2016-05-03 11:20:21,True,ungated,0.0
46953,2016-05-03 11:40:15,True,ungated,0.0
46956,2016-05-03 12:08:15,True,ungated,0.0
46959,2016-05-03 12:20:15,True,ungated,0.0
46965,2016-05-03 12:40:19,True,ungated,0.0
46960,2016-05-03 12:44:20,True,ungated,0.0
46969,2016-05-03 13:00:15,True,ungated,0.0
46971,2016-05-03 13:13:18,True,ungated,0.0
46962,2016-05-03 13:14:18,True,ungated,0.0
46978,2016-05-03 13:26:16,True,ungated,0.0
46982,2016-05-03 13:40:15,True,ungated,0.0
46984,2016-05-03 13:40:21,True,ungated,0.0
46979,2016-05-03 13:52:16,True,ungated,0.0
46983,2016-05-03 13:54:18,True,ungated,0.0
46980,2016-05-03 13:59:21,True,ungated,0.0
47118,2016-05-04 01:47:20,True,ungated,0.0
47122,2016-05-04 02:00:16,True,ungated,0.0
47120,2016-05-04 02:04:18,True,ungated,0.0
47125,2016-05-04 02:20:20,True,ungated,0.0
47124,2016-05-04 02:46:16,True,ungated,0.0
47128,2016-05-04 03:41:19,True,ungated,0.0
47127,2016-05-04 03:46:16,True,ungated,0.0
47129,2016-05-04 04:01:15,True,ungated,0.0
47134,2016-05-04 04:37:16,True,ungated,0.0
47133,2016-05-04 04:42:16,True,ungated,0.0
47143,2016-05-04 05:00:25,True,ungated,0.0
47144,2016-05-04 05:12:27,True,ungated,0.0
47150,2016-05-04 05:55:17,True,ungated,0.0
47284,2016-05-04 18:07:20,True,ungated,0.0
47288,2016-05-04 18:18:17,True,ungated,0.0
47297,2016-05-04 18:20:19,True,ungated,0.0
47296,2016-05-04 18:40:19,True,ungated,0.0
47302,2016-05-04 18:43:15,True,ungated,0.0
47292,2016-05-04 18:48:15,True,ungated,0.0
47295,2016-05-04 18:56:14,True,ungated,0.0
47306,2016-05-04 19:00:15,True,ungated,0.0
47313,2016-05-04 19:40:17,True,ungated,0.0
47314,2016-05-04 19:40:23,True,ungated,0.0
47310,2016-05-04 19:44:31,True,ungated,0.0
47317,2016-05-04 20:00:18,True,ungated,0.0
47311,2016-05-04 20:02:31,True,ungated,0.0
47320,2016-05-04 20:25:18,True,ungated,0.0
47325,2016-05-04 20:40:14,True,ungated,0.0
47326,2016-05-04 20:40:19,True,ungated,0.0
47321,2016-05-04 21:15:19,True,ungated,0.0
47411,2016-05-05 09:10:15,True,ungated,0.0
47419,2016-05-05 09:20:20,True,ungated,0.0
47415,2016-05-05 09:47:25,True,ungated,0.0
47414,2016-05-05 09:52:25,True,ungated,0.0
47422,2016-05-05 10:06:15,True,ungated,0.0
47418,2016-05-05 10:08:16,True,ungated,0.0
47427,2016-05-05 10:38:16,True,ungated,0.0
47428,2016-05-05 11:00:16,True,ungated,0.0
47440,2016-05-05 11:40:18,True,ungated,0.0
47436,2016-05-05 12:05:25,True,ungated,0.0
47437,2016-05-05 12:10:27,True,ungated,0.0
