candidate,method,bound,selection_mse,exact_target,true_shared_interaction,raw_center,interaction_estimate,corrected_center,evaluation_radius,validation_radius,total_radius,lower,passes,score_variance,correction_variance,alpha,delta,score_width,correction_width,width_basis,analysis_status
persistence,shared_original,hybrid,595.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.00625,0.003125,0.0,0.0,declared_map_identity,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_ridge_1,census,exact,582.1872308901089,0.000455562025282533,0.007858962101799304,0.000455562025282533,0.0,0.000455562025282533,0.0,0.0,0.0,0.000455562025282533,True,0.0,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_original,hybrid,569.210066073794,0.0002814381233111963,0.003266662146857403,0.002593994140625,0.0030517578125,-0.000457763671875,0.0028840009250785392,0.006763382141924685,0.009647383067003225,-0.010105146738878225,False,0.002968916269854327,0.0015930540904269931,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_original,hoeffding,569.210066073794,0.0002814381233111963,0.003266662146857403,0.002593994140625,0.0030517578125,-0.000457763671875,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06395139122310489,False,0.002968916269854327,0.0015930540904269931,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_pruned_same_counts,hybrid,569.210066073794,0.0002814381233111963,0.003266662146857403,0.002593994140625,0.0030517578125,-0.000457763671875,0.0028840009250785392,0.006763382141924685,0.009647383067003225,-0.010105146738878225,False,0.002968916269854327,0.0015930540904269931,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_pruned_same_counts,hoeffding,569.210066073794,0.0002814381233111963,0.003266662146857403,0.002593994140625,0.0030517578125,-0.000457763671875,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06395139122310489,False,0.002968916269854327,0.0015930540904269931,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_pruned_allocated,hybrid,569.210066073794,0.0002814381233111963,0.003266662146857403,0.004050129909827296,0.003051665404996215,0.0009984645048310816,0.003687568025892104,0.003829714444037772,0.007517282469929876,-0.006518817965098794,False,0.004005375858981976,0.0015866034121527546,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,shared_pruned_allocated,hoeffding,569.210066073794,0.0002814381233111963,0.003266662146857403,0.004050129909827296,0.003051665404996215,0.0009984645048310816,0.01855736317755336,0.033721562454966554,0.052278925632519915,-0.05128046112768883,False,0.004005375858981976,0.0015866034121527546,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,direct_triple_u,hybrid,569.210066073794,0.0002814381233111963,0.003266662146857403,0.00025600857204861107,0.0,0.00025600857204861107,0.0004948123183268283,0.0,0.0004948123183268283,-0.00023880374627821723,False,6.725953889276703e-05,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,direct_triple_u,hoeffding,569.210066073794,0.0002814381233111963,0.003266662146857403,0.00025600857204861107,0.0,0.00025600857204861107,0.005080715392612091,0.0,0.005080715392612091,-0.00482470682056348,False,6.725953889276703e-05,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
blend_boosting_7,complete_pooled_u,variance,569.210066073794,0.0002814381233111963,0.003266662146857403,0.0002806828420561757,0.0,0.0002806828420561757,0.0004515264958985027,0.0,0.0004515264958985027,-0.00017084365384232702,False,6.725953889276703e-05,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
