task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,population_rows,declared_categories,positive_categories,p_min,exact_archive_target,independent_blocks,kernel_lower,kernel_upper,kernel_range,alpha,by_first_threshold,whole_case_seconds,process_peak_rss_kib,method,estimate,radius,lower,p,log_p,first_threshold_lower,sample_variance,arithmetic_seconds,first_term,second_term,lower_covers_archive_target,p_BY,retained
metro,ridge,persistence,32768,4361,4362,32,30,0.00022925263640531865,0.001242136410293828,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.163930401206017,101224,direct_block_empirical_bernstein,0.012982400525437941,1.1776921577753172,-1.1647097572498792,1.0,0.0,-2.1326198191339527,1.1075022888508568,0.8321311622858047,,,True,1.0,False
metro,ridge,persistence,32768,4361,4362,32,30,0.00022925263640531865,0.001242136410293828,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.163930401206017,101224,direct_full_u_hoeffding,0.0032504280553676823,14.748014968423638,-14.74476454036827,0.9999998544819244,-1.4551808621033807e-07,-20.998516756546753,,13.320744790136814,0.3250635646798998,0.3218131366245321,True,1.0,False
metro,ridge,ridge_full,32768,4361,4362,32,30,0.00022925263640531865,0.00029865222363564104,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.519218403846025,100564,direct_block_empirical_bernstein,0.00690490809741524,1.1794808351760933,-1.172575927078678,1.0,0.0,-2.1411201265353546,1.236503714055368,0.853966474533081,,,True,1.0,False
metro,ridge,ridge_full,32768,4361,4362,32,30,0.00022925263640531865,0.00029865222363564104,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.519218403846025,100564,direct_full_u_hoeffding,0.0024363700085349715,14.748014968423638,-14.745578598415102,0.9999999182434925,-8.175651076809656e-08,-20.999330814593584,,13.652897097170353,0.3293723365211442,0.32693596651260926,True,1.0,False
metro,ridge,seasonal_day,32768,4361,4362,32,30,0.00022925263640531865,0.0008771330315130551,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.144935995340347,100044,direct_block_empirical_bernstein,0.015881917880841985,1.1779259549904117,-1.1620440371095697,1.0,0.0,-2.130036986829313,1.1239603598512258,0.8256282396614552,,,True,1.0,False
metro,ridge,seasonal_day,32768,4361,4362,32,30,0.00022925263640531865,0.0008771330315130551,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.144935995340347,100044,direct_full_u_hoeffding,0.003009142690876321,14.748014968423638,-14.745005825732761,0.9999998752842233,-1.2471578450189386e-07,-20.998758041911245,,13.308201398700476,0.32096252836315586,0.31795338567227954,True,1.0,False
metro,ridge,seasonal_week,32768,4361,4362,32,30,0.00022925263640531865,0.0009272004208301527,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.437154430896044,100172,direct_block_empirical_bernstein,0.010815209428520116,1.1782389123553954,-1.1674237029268753,1.0,0.0,-2.1355276050317,1.1461808765786463,0.8242569305002689,,,True,1.0,False
metro,ridge,seasonal_week,32768,4361,4362,32,30,0.00022925263640531865,0.0009272004208301527,8192,-1090.3333333333333,0.3333333333333333,1090.6666666666665,0.05,0.002299605781865966,14.437154430896044,100172,direct_full_u_hoeffding,0.0030433347213052464,14.748014968423638,-14.744971633702333,0.9999998724339016,-1.2756610651824417e-07,-20.998723849880815,,13.601685162633657,0.32695337865796215,0.3239100439366569,True,1.0,False
metro,seasonal_day,category_copy,32768,4361,4362,32,32,0.002751031636863824,2.023694069102045e-31,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.10638528689742,100376,direct_block_empirical_bernstein,0.008035533798745248,0.13221913054856668,-0.12418359674982143,1.0,0.0,-0.2170015375389709,1.4832902314068293,0.8246483504772186,,,True,1.0,False
metro,seasonal_day,category_copy,32768,4361,4362,32,32,0.002751031636863824,2.023694069102045e-31,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.10638528689742,100376,direct_full_u_hoeffding,0.0019213337776050055,1.2310671113235654,-1.2291457775459604,0.9999927030126852,-7.297013937957392e-06,-1.7511678050654433,,13.271064959466457,0.31972187104891775,0.31780053727131274,True,1.0,False
metro,seasonal_day,extra_trees,32768,4361,4362,32,32,0.002751031636863824,0.014228441189936004,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.29339985921979,100416,direct_block_empirical_bernstein,0.024188355940009572,0.131271632915743,-0.10708327697573344,1.0,0.0,-0.19956530260842956,1.4073821756480753,0.8278908170759678,,,True,1.0,False
metro,seasonal_day,extra_trees,32768,4361,4362,32,32,0.002751031636863824,0.014228441189936004,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.29339985921979,100416,direct_full_u_hoeffding,0.015724077651156132,1.2310671113235654,-1.2153430336724091,0.9995113883951426,-0.0004887310144057053,-1.737365061191892,,13.453554097563028,0.3319737450350519,0.31624966738389576,True,1.0,False
metro,seasonal_day,hist_gradient_boosting,32768,4361,4362,32,32,0.002751031636863824,0.01440735534211913,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.061390481889248,101224,direct_block_empirical_bernstein,0.02523305636965957,0.13074766590397344,-0.10551460953431387,1.0,0.0,-0.19781087379448764,1.366261044733484,0.8334006518125534,,,True,1.0,False
metro,seasonal_day,hist_gradient_boosting,32768,4361,4362,32,32,0.002751031636863824,0.01440735534211913,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.061390481889248,101224,direct_full_u_hoeffding,0.01586586670730128,1.2310671113235654,-1.215201244616264,0.9995025389317549,-0.0004975848430527858,-1.737223272135747,,13.216256432235241,0.33186144253306055,0.31599557582575927,True,1.0,False
metro,seasonal_day,independent_noise,32768,4361,4362,32,32,0.002751031636863824,-0.0006842245102447061,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.33287039399147,100792,direct_block_empirical_bernstein,0.0038792661563249054,0.12105953677175112,-0.11718027061542621,1.0,0.0,-0.2060418145127721,0.7157880944075977,0.8512920588254929,,,True,1.0,False
metro,seasonal_day,independent_noise,32768,4361,4362,32,32,0.002751031636863824,-0.0006842245102447061,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.33287039399147,100792,direct_full_u_hoeffding,0.00011593216532843065,1.2310671113235654,-1.230951179158237,0.9999999734326994,-2.6567300931418018e-08,-1.75297320667772,,13.469486273825169,0.2490792632072223,0.24896333104189386,True,1.0,False
metro,seasonal_day,persistence,32768,4361,4362,32,32,0.002751031636863824,0.013363659245006645,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.049798101186752,101224,direct_block_empirical_bernstein,0.016769696782192305,0.13008349150983795,-0.11331379472764563,1.0,0.0,-0.20537459006653733,1.3150126101875454,0.8296214230358601,,,True,1.0,False
metro,seasonal_day,persistence,32768,4361,4362,32,32,0.002751031636863824,0.013363659245006645,8192,-90.70833333333333,0.3333333333333333,91.04166666666666,0.05,0.002299605781865966,14.049798101186752,101224,direct_full_u_hoeffding,0.01448054748857125,1.2310671113235654,-1.2165865638349942,0.9995856002323477,-0.0004144856549646237,-1.738608591354477,,13.209109663963318,0.3250635646798998,0.3105830171913285,True,1.0,False
