categories,validation_pairs,mass,fit_error,delta,method,repetitions,noncoverage,median_slack,mean_slack,median_upper
2,2048,one_heavy,same_direction,0.0002299605781865966,rectangle,2000,0,0.012094399155587854,0.012141691940727627,0.014594399155587856
2,2048,one_heavy,same_direction,0.0002299605781865966,split_original,2000,0,0.010821715250085764,0.01082918027417406,0.013321715250085762
2,2048,one_heavy,same_direction,0.0002299605781865966,split_balanced,2000,0,0.010737741577764932,0.0108355463657456,0.013237741577764932
2,2048,one_heavy,same_direction,0.0002299605781865966,pooled_fixed,2000,0,0.013577735832394397,0.013756323535968427,0.0160777358323944
2,2048,one_heavy,same_direction,0.0002299605781865966,pooled_grid,2000,0,0.011873107537592568,0.011969394197837806,0.014373107537592567
2,2048,one_heavy,same_direction,0.0002299605781865966,pooled_mixture,2000,0,0.011694350421492899,0.011763448007326923,0.014194350421492901
2,2048,one_heavy,opposite_direction,0.05,rectangle,2000,0,0.012185415180528777,0.01213386750255889,-0.010314584819471215
2,2048,one_heavy,opposite_direction,0.05,split_original,2000,0,0.015482760559412334,0.015430464275779595,-0.007017239440587658
2,2048,one_heavy,opposite_direction,0.05,split_balanced,2000,0,0.015506229356166728,0.015432712928942107,-0.006993770643833265
2,2048,one_heavy,opposite_direction,0.05,pooled_fixed,2000,0,0.048917162752483256,0.048965303055493535,0.026417162752483264
2,2048,one_heavy,opposite_direction,0.05,pooled_grid,2000,0,0.020191479780316098,0.020156587764732427,-0.002308520219683895
2,2048,one_heavy,opposite_direction,0.05,pooled_mixture,2000,0,0.019746245447586176,0.01970284506879996,-0.002753754552413816
2,2048,one_heavy,opposite_direction,0.0002299605781865966,rectangle,2000,0,0.0159120847105831,0.015873766465598356,-0.006587915289416893
2,2048,one_heavy,opposite_direction,0.0002299605781865966,split_original,2000,0,0.024358889606043786,0.024306641310338606,0.0018588896060437944
2,2048,one_heavy,opposite_direction,0.0002299605781865966,split_balanced,2000,0,0.024367266960544795,0.024302417349299395,0.0018672669605448045
2,2048,one_heavy,opposite_direction,0.0002299605781865966,pooled_fixed,2000,0,0.07520414105114448,0.07531557242582002,0.052704141051144494
2,2048,one_heavy,opposite_direction,0.0002299605781865966,pooled_grid,2000,0,0.02822865404925235,0.028158482200500764,0.005728654049252361
2,2048,one_heavy,opposite_direction,0.0002299605781865966,pooled_mixture,2000,0,0.027775492124514772,0.027732373390622306,0.005275492124514781
2,8192,balanced,exact,0.05,rectangle,2000,0,0.000764604926712214,0.0007811911158861418,0.000764604926712214
2,8192,balanced,exact,0.05,split_original,2000,0,0.0007552915251937072,0.0007670769005039245,0.0007552915251937072
2,8192,balanced,exact,0.05,split_balanced,2000,0,0.0007575718472147498,0.0007698362693940486,0.0007575718472147498
2,8192,balanced,exact,0.05,pooled_fixed,2000,0,0.00082423543575901,0.0008392473091621366,0.00082423543575901
2,8192,balanced,exact,0.05,pooled_grid,2000,0,0.0008695418305246921,0.0008916831784267985,0.0008695418305246921
2,8192,balanced,exact,0.05,pooled_mixture,2000,0,0.0008530371379584376,0.0008710418771274365,0.0008530371379584376
2,8192,balanced,exact,0.0002299605781865966,rectangle,2000,0,0.00148264050212214,0.0015052793076424384,0.00148264050212214
2,8192,balanced,exact,0.0002299605781865966,split_original,2000,0,0.0013533580352781845,0.001367038518533805,0.0013533580352781845
2,8192,balanced,exact,0.0002299605781865966,split_balanced,2000,0,0.0013536275957600707,0.0013706661175539071,0.0013536275957600707
2,8192,balanced,exact,0.0002299605781865966,pooled_fixed,2000,0,0.0014566450968407987,0.0014766225540509667,0.0014566450968407987
2,8192,balanced,exact,0.0002299605781865966,pooled_grid,2000,0,0.0014511819914655732,0.0014794438301189174,0.0014511819914655732
2,8192,balanced,exact,0.0002299605781865966,pooled_mixture,2000,0,0.0014434772428105417,0.0014677921686538978,0.0014434772428105417
2,8192,balanced,same_direction,0.05,rectangle,2000,0,0.0030777735704418238,0.0030980715235432235,0.005577773570441825
2,8192,balanced,same_direction,0.05,split_original,2000,0,0.0027055205260757727,0.0027183210836266947,0.005205520526075774
