task,baseline,candidate,budget_method,bias,true_bias,mean,U_radius,U_lower,U_p,betting_p,bias_covers,queries,known_category_metadata_rows,center,linear_a_radius,linear_b_radius,product_radius,absent_allowance,upper,delta,categories_used,categories_absent,information_contract,U_BY,U_retained,betting_BY,betting_retained
metro,ridge,ridge_full,known_mass_aggregate,0.0055688867883228,5.870440647663937e-05,0.000322601677945,0.0050709819547709,-0.0103172670651487,1.0,1.0,True,32768,4362.0,-7.93273340570354e-05,0.0018314918040233,0.0010302062436486,0.0027865160747079,0.0,0.0055688867883228,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,ridge_full,oracle_diagnostic,5.870440647663937e-05,5.870440647663937e-05,0.000322601677945,0.0050709819547709,-0.0048070846833025,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,original_rectangle,0.0371090979563965,8.134683763334741e-05,0.0043199664143034,0.0050690607355007,-0.0378581922775937,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,known_mass_rectangle,0.0283385115156284,8.134683763334741e-05,0.0043199664143034,0.0050690607355007,-0.0290876058368257,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,known_mass_aggregate,0.0056426687302088,8.134683763334741e-05,0.0043199664143034,0.0050690607355007,-0.0063917630514061,1.0,1.0,True,32768,4362.0,-0.0001128550481586,0.0018314918040233,0.0011375158996362,0.0027865160747079,0.0,0.0056426687302088,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,hist_gradient_boosting,oracle_diagnostic,8.134683763334741e-05,8.134683763334741e-05,0.0043199664143034,0.0050690607355007,-0.0008304411588306,0.110737127923022,0.0002922623526071,True,32768,4362.0,,,,,,,,,,,1.0,False,0.0055549824082324,True
metro,ridge,extra_trees,original_rectangle,0.0370477571926447,7.659221525672239e-05,0.0040829764012157,0.0050566483252017,-0.0380214291166307,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,extra_trees,known_mass_rectangle,0.0283361462252622,7.659221525672239e-05,0.0040829764012157,0.0050566483252017,-0.0293098181492482,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,extra_trees,known_mass_aggregate,0.005735605135721,7.659221525672239e-05,0.0040829764012157,0.0050566483252017,-0.0067092770597071,1.0,1.0,True,32768,4362.0,-7.992321934859331e-05,0.0018314918040233,0.0011975204763384,0.0027865160747079,0.0,0.005735605135721,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,extra_trees,oracle_diagnostic,7.659221525672239e-05,7.659221525672239e-05,0.0040829764012157,0.0050566483252017,-0.0010502641392427,0.1361743130457701,0.0005109707865654,True,32768,4362.0,,,,,,,,,,,1.0,False,0.0055549824082324,True
metro,ridge,category_copy,original_rectangle,0.0358167309142979,5.750468389885833e-05,2.56068229007238e-05,0.0050574297138712,-0.0408485538052683,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,category_copy,known_mass_rectangle,0.0273821122633514,5.750468389885833e-05,2.56068229007238e-05,0.0050574297138712,-0.0324139351543219,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,category_copy,known_mass_aggregate,0.0054697138240887,5.750468389885833e-05,2.56068229007238e-05,0.0050574297138712,-0.0105015367150592,1.0,1.0,True,32768,4362.0,-0.0001398595742008,0.0018314918040233,0.0009915655195583,0.0027865160747079,0.0,0.0054697138240887,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,category_copy,oracle_diagnostic,5.750468389885833e-05,5.750468389885833e-05,2.56068229007238e-05,0.0050574297138712,-0.0050893275748693,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,independent_noise,original_rectangle,0.034576780284888,-1.9695797145923717e-06,0.0003528126828039,0.0047056024299669,-0.038929570032051,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,ridge,independent_noise,known_mass_rectangle,0.0266301830848929,-1.9695797145923717e-06,0.0003528126828039,0.0047056024299669,-0.0309829728320559,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
